SampleID,SubjectID,Cluster,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
Sample_HKUBJO,Subject_AYZFWN,25,6.1273255,13.697962,8.615703,4.9400663,4.4418154,6.710083,4.788478,5.0368047,1.419591,4.6454787,5.0492597,5.496617,4.587739,4.8086667,4.810544,4.6180673,4.2137475,5.9591746,5.869161,5.458609,4.8848753,5.1463904,4.467022,4.1868687,6.3724856,5.266448,4.9757147,4.199351,4.9066305,4.7980714,4.8476434,5.6757283,5.1405296,5.029131,4.9241676,4.7897344,5.1323624,5.037768,4.825002,4.9693985,4.8450174,5.1301293,5.092826,5.3522887,5.242065,5.4793887,5.066932,5.203933,5.376897,5.1368294,4.863106,5.3326674,5.023907,4.9951105,5.23357,4.8644323,5.036762,5.277154,5.074871,4.9678288,4.974872,5.071818,5.1296096,4.54255
Sample_LRWBTH,Subject_BCUNIB,23,6.5883293,11.245629,2.130171,5.4726677,1.58184,9.222333,4.1524334,4.9062996,5.295259,7.038902,5.010702,5.2638526,4.424233,5.2370844,4.91686,5.0338054,4.2675376,3.8518326,5.3373146,6.1354694,4.9237576,4.9253373,6.014681,4.8393745,4.857408,5.179421,4.8975205,5.0743,5.286348,4.643191,5.288865,5.010755,4.894083,5.066576,5.5723844,4.9488964,5.0260487,4.7584715,4.9707174,4.6688557,4.7810845,4.8386493,5.269491,4.579437,5.351872,5.0979486,4.6836085,4.9017096,4.957525,5.281992,4.8950815,5.35043,5.316651,4.6756763,4.765585,5.0152845,4.957306,4.6541805,5.4381933,5.069037,4.6086407,5.008431,5.051,5.5162115
Sample_LRWBTH,Subject_BCUNIB,14,-1.7928207,11.611313,5.270705,0.08191526,4.5536404,4.6389847,5.1185913,3.265828,5.635625,4.6574097,4.697581,3.1513548,5.4324126,5.077317,4.8707805,5.6435704,5.6003118,5.2144566,5.1603208,4.114942,5.2960486,4.888855,5.0876904,5.2490077,4.6402216,4.7549744,4.9628553,4.969294,5.080486,5.4536963,4.952586,5.3702497,5.395142,4.5648766,5.178372,5.528641,4.28455,4.982418,5.3214483,5.1258707,5.336045,5.2185674,4.933935,4.911059,4.7685156,4.752809,4.7712154,5.305993,4.9286227,4.6267924,5.205042,4.7730207,5.0329795,5.0128255,5.2824965,4.8749413,4.8923755,5.0490994,4.9496026,5.111556,4.776654,4.634137,5.1458106,5.004327
Sample_LRWBTH,Subject_BCUNIB,22,6.1450424,11.181093,1.7834011,5.7742,1.0817338,9.920236,6.9049044,5.1781077,5.917936,6.0157366,5.1218505,5.067483,5.139854,4.828652,5.5172634,4.3302484,4.0856333,3.331793,5.4708986,7.153008,4.496954,4.7755647,6.8453603,4.904604,4.7540717,5.489332,5.0077558,4.989992,5.2322607,4.5379243,4.9472175,5.058617,4.889154,5.189184,5.6237226,4.7725754,5.070258,4.649359,5.0620365,4.6020446,4.7282434,4.8793283,5.5129333,4.3990793,5.407965,5.040582,5.033629,5.010966,4.5732145,5.3744903,4.8673143,5.5697017,5.258578,4.839639,4.6381164,4.996929,4.6338577,4.3900895,5.3015203,5.051859,4.969803,5.1275125,5.1603217,5.7086725
Sample_AFTIWE,Subject_BCUNIB,23,6.590449,11.244501,2.125107,5.473832,1.5758337,9.23148,4.162906,4.906131,5.294382,7.045394,5.009901,5.2654862,4.4205556,5.240464,4.9156847,5.03705,4.2679605,3.8519678,5.336604,6.137005,4.925325,4.9247303,6.0195127,4.839476,4.857008,5.177924,4.8974447,5.0741115,5.288644,4.643524,5.2893753,5.010753,4.8930435,5.0659385,5.5735054,4.9467382,5.0255756,4.757441,4.9722414,4.6694164,4.7801685,4.836963,5.2683063,4.579762,5.3530397,5.0984626,4.682154,4.9012976,4.9570723,5.2816234,4.8938465,5.3476596,5.3173428,4.674419,4.766177,5.0149536,4.9579325,4.6532826,5.441336,5.06987,4.6074204,5.0074935,5.051464,5.51864
Sample_AFTIWE,Subject_BCUNIB,7,7.199999,3.268488,7.5294275,5.3542914,6.569866,2.6960726,4.911957,5.445077,5.9356585,4.27102,5.431597,5.617095,4.4359884,5.779542,4.7682133,5.971852,4.0125685,5.9227757,1.9794929,3.7036433,4.731736,4.0643864,4.2843337,5.6427603,4.4788666,6.506676,5.3641443,5.645123,4.898316,4.8529263,4.6310363,5.180305,4.4837613,4.5903826,4.8987513,5.2578115,5.8808055,4.692711,4.868554,5.0029526,5.404857,5.8449993,5.185017,5.0814757,4.990274,4.190142,5.1877165,5.0918875,4.232453,5.4793315,5.017271,4.146224,5.0718455,5.1394362,5.5744023,5.366637,4.7721696,4.968492,4.9355235,5.3142595,5.5787134,4.6333117,4.7337117,4.854003
Sample_AFTIWE,Subject_BCUNIB,7,7.2713304,3.3213832,7.5172896,5.4009523,6.60246,2.6520197,5.0460644,5.43838,5.912568,4.5079756,5.4839587,5.5723047,4.416547,5.879737,4.732805,6.0368648,4.034922,6.063378,1.2496243,3.6967697,4.6545424,4.3049135,4.3816314,5.6838965,4.5566034,6.1612515,5.3210163,5.715085,4.841819,4.8094635,4.6244116,5.0870767,4.4999895,4.5501637,4.9935718,5.1551833,5.9032845,4.697997,4.8930297,5.088162,5.4095016,5.7402096,5.09725,5.0920224,4.924,4.1550117,5.0568323,5.0280704,4.1968236,5.4666977,5.0099845,4.0674477,4.9755344,5.162087,5.537745,5.3320556,4.679343,4.921513,4.781183,5.426783,5.558325,4.6158705,4.7426176,4.963466
Sample_HPHINP,Subject_BCUNIB,2,5.157587,3.598378,5.169302,5.4183865,12.249599,4.180141,4.438975,3.8746748,5.174697,4.8294845,6.129964,5.155322,5.1533456,5.455276,4.271326,5.701068,6.472437,3.188981,5.28842,6.343557,4.710183,6.9955983,5.7803054,4.7625875,4.306871,5.132335,5.1127043,5.4026055,5.380186,5.8364897,5.1394978,7.195031,4.9054894,5.4545884,4.1275086,6.020406,5.238936,5.5976787,6.2268333,2.871151,3.8294668,4.817884,4.196323,4.8217516,7.229625,5.6386995,6.7904587,5.6251774,4.7832813,3.077629,4.6181407,6.861446,4.544447,4.97536,7.118171,5.014992,6.043259,6.3225036,4.1042466,4.612641,3.9698622,4.048318,6.1303744,4.6730046
Sample_CSAHNX,Subject_BHBZKM,23,6.6171236,11.21469,2.1046436,5.460788,1.5386534,9.288885,4.141611,4.8900476,5.2731876,7.1243043,4.9892044,5.272891,4.368294,5.2769713,4.8678503,5.084137,4.2888956,3.8739066,5.3148003,6.087216,4.9483037,4.926282,6.0206633,4.8317413,4.8679442,5.173582,4.8984156,5.0664797,5.302608,4.6573,5.3224254,5.021435,4.893037,5.0575976,5.5723896,4.947462,5.0226736,4.7644796,4.974638,4.6776886,4.778868,4.8189483,5.2466226,4.57926,5.3610125,5.1076403,4.6425896,4.8976316,4.982451,5.280851,4.901258,5.316325,5.33124,4.6683855,4.779084,5.018834,4.973723,4.6581144,5.466346,5.079979,4.5848746,4.9980073,5.052186,5.5364165
Sample_CSAHNX,Subject_BHBZKM,8,-6.5930734,2.4459655,4.549572,5.44011,5.4638257,5.1371355,4.6435494,4.6804595,4.5861077,5.7634974,5.828158,5.123826,5.354311,5.2851605,5.1548862,4.898228,4.8639326,5.627776,5.7701516,4.796222,4.8636174,4.6567135,4.9329233,4.950575,5.407018,4.629598,5.294864,4.869139,5.088031,4.6923523,4.8240376,5.3206553,4.885184,4.897175,5.133794,4.7717056,4.985777,4.9710526,5.2117805,4.863578,5.0248804,5.2431793,4.6743374,4.5111427,5.048147,4.6810393,4.9532714,5.003971,5.004663,5.1340404,4.644443,4.828254,5.0689116,4.5472436,5.136965,4.5528913,4.7617054,5.0771112,4.967593,5.1759896,4.8784933,4.612898,4.8614397,4.8988557
Sample_CSAHNX,Subject_BHBZKM,7,7.1883435,3.2509515,7.5219502,5.303786,6.522351,2.573019,5.0137444,5.5611434,5.866122,4.3532944,5.346437,5.6079016,4.565517,5.9378705,4.7831917,6.1464562,3.9981873,6.0505023,1.279406,3.666456,4.842278,4.178043,4.332016,5.657774,4.5539093,6.403585,5.2467747,5.653783,4.983027,4.9495697,4.6499686,5.028564,4.3528376,4.580699,4.8566713,5.302591,5.9470234,4.762695,4.7484007,4.95322,5.323061,5.7150474,5.164706,5.133543,4.9572463,4.0563264,5.1142316,4.97414,4.3657823,5.401254,5.139866,4.1239157,5.1110163,5.138599,5.418807,5.300315,4.7977285,4.8668394,4.7514915,5.27758,5.5941777,4.76958,4.6634803,4.909215
Sample_EVYGIE,Subject_BHBZKM,19,6.429695,13.003134,5.9614096,5.177008,4.3684382,6.218925,2.7487466,4.6851215,3.7861223,3.8598,4.6695757,5.3215456,4.829942,5.058078,5.2148075,4.4787917,4.071878,4.770968,5.553695,5.648615,4.892696,5.1899295,4.7072134,4.9683046,5.1945934,5.0983486,4.855904,5.157934,5.113794,4.710713,4.976778,4.9954944,4.8656783,5.029706,5.205931,4.8643756,5.000344,4.686757,4.6901097,4.882659,4.9789133,4.982469,5.1142044,5.001306,5.3391423,5.20483,5.0462418,5.1092033,5.257781,5.2508445,4.9429293,5.63359,5.287552,4.884783,4.715369,5.0802827,4.9695206,4.8186846,5.092052,5.0850635,4.8326674,5.0101075,4.9699316,4.8787084
Sample_EVYGIE,Subject_BHBZKM,20,6.546163,12.915324,4.431749,5.2697577,4.3505764,6.1233573,0.72984755,4.8978314,4.913855,3.7205365,5.4881806,5.2893867,4.4249353,5.135215,5.527366,4.797118,4.109034,4.2616553,5.643202,5.2548475,4.759965,5.227926,4.6725907,5.163982,5.0652466,4.906135,4.893406,4.9243417,5.133435,4.726172,4.9100194,5.234782,5.0796657,4.985045,5.269758,4.712096,4.8177447,4.7280774,4.5450974,5.135928,4.9035277,5.103995,5.07698,5.1065736,5.1204166,5.0339727,5.2877116,4.894375,5.0044155,5.0790534,4.6908827,5.8498335,5.0371385,4.7460566,4.8692403,5.0223727,4.9418006,4.8877826,5.0555534,5.2716656,4.6528535,5.066901,4.804575,4.5841885
Sample_EVYGIE,Subject_BHBZKM,15,-1.3646898,12.034335,5.596953,8.701835,4.6768417,4.436679,5.4939966,2.75135,5.5095534,4.879402,4.951984,3.9411025,5.5182614,5.09299,4.790679,5.1805615,8.990949,5.5041785,5.4986596,3.9146717,5.2728505,4.404165,5.1026807,5.0766296,4.96615,4.31133,5.540179,4.780618,4.850143,5.1026373,5.0196176,5.297395,4.845706,5.878827,4.985184,4.7925816,4.3531103,4.751433,5.373636,4.904033,5.1365237,5.0818214,4.6210513,4.6850986,4.37881,4.7716856,5.0445843,5.018245,4.939424,4.322834,6.157815,4.7225924,5.0173955,5.574058,4.9235673,4.757166,5.034394,4.8846083,5.0207443,5.1475463,5.3136144,4.8313866,5.1493597,4.963834
Sample_RCLNGE,Subject_BHBZKM,7,7.1623573,3.2210953,7.5526743,5.312358,6.594763,2.7556896,4.8278093,5.393313,5.941296,4.3664865,5.4088783,5.683913,4.436203,5.715223,4.7914953,5.9070716,3.9884243,5.8604918,2.299234,3.6993935,4.707795,3.9081194,4.214753,5.668145,4.4580793,6.644806,5.409303,5.6050854,4.920854,4.8688846,4.6220446,5.2386985,4.5079365,4.6559224,4.8451986,5.3064675,5.839534,4.6735973,4.9069366,4.9719987,5.4114347,5.8985205,5.238032,5.0710406,5.0198207,4.2342644,5.257813,5.1537356,4.1493073,5.506168,4.961651,4.201437,5.108986,5.1244044,5.6642466,5.362912,4.821267,5.0051265,5.054596,5.263988,5.5787287,4.603946,4.750494,4.8131514
Sample_RCLNGE,Subject_BHBZKM,5,3.4314253,-1.718599,5.064123,4.6603694,4.7903643,4.759284,5.0085826,5.4944944,6.2962494,4.392577,6.177658,4.8559103,7.041008,5.0130696,5.403665,5.1567707,5.7712255,6.3549466,5.376707,6.225558,5.806736,5.39635,5.0783496,4.60408,5.7825446,4.6065664,4.8238163,4.5203557,5.414111,4.497074,7.6068068,5.0716043,4.282375,7.4528146,5.9744124,5.9081783,3.5562117,4.365219,4.6425385,3.5006158,4.378323,3.9078796,6.5636888,3.6326826,5.444736,3.6200085,3.3891542,3.7810202,3.9773798,4.996062,4.588982,5.047829,3.2762733,5.3507867,2.7019346,4.991652,5.6190124,4.886148,4.7127495,5.1128073,6.818054,6.403921,5.9676003,4.765587
Sample_RCLNGE,Subject_BHBZKM,15,-1.3419491,11.942897,5.448238,8.321572,4.8091784,4.563264,5.5748115,3.230008,5.59581,4.699573,5.057652,3.735824,5.4626207,5.163028,4.7385125,5.307344,8.713609,5.4733205,5.3948574,3.8977678,5.3441896,4.579644,5.108913,5.047881,4.8936405,4.284134,5.3996725,4.799711,4.845181,5.3021803,5.0378685,5.307474,4.9030414,5.867616,4.997011,4.8048434,4.4024863,4.8945847,5.3585777,4.864715,5.045201,5.0335712,4.690938,4.798962,4.375011,4.8143077,4.995335,5.019531,4.9974637,4.3025355,6.108187,4.6696877,4.9773083,5.5417886,5.015005,4.719887,5.071255,4.8701525,5.0381904,5.155065,5.1564856,4.8241806,5.1339097,5.0471735
Sample_RCLNGE,Subject_BHBZKM,-1,4.082244,10.044147,6.1256623,5.51438,5.0907474,6.8741837,5.583961,4.6295314,13.889953,7.1538825,6.531075,5.624111,4.7923465,3.561648,6.0552955,5.997525,5.5285945,4.578158,4.902829,4.3062496,4.8143373,5.1359982,4.1971197,4.678381,5.7686915,5.6615715,5.4142857,4.488403,4.9113398,4.5447493,4.319391,5.2425656,5.047703,4.776952,5.985273,4.7840686,4.7142873,4.630361,5.5978894,5.445574,4.9900274,5.1366215,4.3931932,5.0898542,5.2469063,4.9284267,5.1915936,4.270478,4.6604695,5.1117363,5.8081408,5.1346617,4.082202,4.655343,4.8622403,5.4595757,4.7008877,4.5416584,4.245273,5.395688,5.614838,4.854441,5.2202735,4.2626557
Sample_WPQRXX,Subject_BHBZKM,2,5.163758,3.566553,5.2481136,5.50195,12.312259,4.199001,4.4455395,3.8689861,5.163485,4.861187,6.0324073,5.2313404,5.138996,5.451049,4.24776,5.7045026,6.4965634,3.183393,5.3126664,6.357806,4.7034817,6.9678664,5.731737,4.7555695,4.295818,5.1164837,5.1153154,5.3933043,5.377545,5.8869104,5.1331744,7.213687,4.8872833,5.4487715,4.112626,6.0346217,5.2471304,5.604858,6.232182,2.8473268,3.8273232,4.830667,4.199463,4.7336254,7.222423,5.638524,6.818412,5.719431,4.80403,3.0207317,4.6083603,6.9275002,4.536313,4.9634876,7.126651,5.094203,6.0577984,6.329799,4.078708,4.6012473,3.966907,4.0267735,6.156941,4.667896
Sample_WPQRXX,Subject_BHBZKM,22,6.09165,11.149911,1.7594947,5.7703114,1.0218049,10.071133,7.624171,5.1637363,6.0060983,5.6785817,5.156142,5.104695,5.2378798,4.7855735,5.53087,4.2328734,4.031281,3.2810585,5.439136,7.2584295,4.4884634,4.754724,6.956476,4.9629965,4.7189603,5.5240636,4.972804,5.0160456,5.2579255,4.510708,4.9430084,5.0594544,4.857445,5.180988,5.630773,4.7206516,5.0619802,4.670292,5.0683565,4.631529,4.772273,4.839319,5.4926105,4.3760858,5.451475,5.051121,5.0879035,5.0569882,4.592105,5.329454,4.8894024,5.608976,5.273864,4.8281884,4.6306252,5.03562,4.6518674,4.367825,5.3404083,5.018021,5.0230675,5.1703076,5.1415877,5.7413144
Sample_WPQRXX,Subject_BHBZKM,8,-6.8072767,2.1365275,4.4285927,5.2705917,5.375212,5.063052,4.518761,4.844904,4.5286407,5.8626313,5.7211432,5.0426707,5.1544347,4.9680977,5.1427813,4.7867503,4.9933796,5.4318447,5.526597,4.711733,4.788577,4.747377,4.9438615,4.9094768,5.2572083,4.617606,5.207774,4.9300184,5.1107554,4.6393065,4.7722588,5.385559,4.748759,4.684045,5.110878,4.6953006,4.95106,4.6625123,5.1077824,4.9533834,4.9613414,5.3089323,4.7515297,4.735255,4.909289,4.864361,5.099137,5.010332,5.1020284,5.058249,4.764544,4.905894,4.9923444,4.6018186,5.1984863,4.52971,4.698542,5.0041275,4.9183702,5.1646285,4.8905716,4.71793,4.872245,4.8248234
Sample_WPQRXX,Subject_BHBZKM,22,6.110537,11.1379795,1.7453363,5.8569407,1.011059,10.178129,8.138933,5.120712,6.076513,5.5768175,5.165384,5.0769243,5.2344193,4.8137913,5.615301,4.2286468,4.0588245,3.2947392,5.4695554,7.2319903,4.489,4.747927,6.9205093,4.94317,4.739269,5.4906826,4.9581485,5.00068,5.276228,4.522512,4.9470396,5.058354,4.879815,5.165675,5.6249523,4.746489,5.0659103,4.66153,5.0813,4.5975327,4.7535686,4.833836,5.5501056,4.369249,5.426603,5.0485797,5.07217,5.071972,4.5246325,5.3459,4.88249,5.610942,5.258278,4.7946854,4.6464705,5.0303664,4.625748,4.286564,5.32403,5.035457,4.9966097,5.1523075,5.175663,5.721762
Sample_AOCHTQ,Subject_BHBZKM,3,4.020651,3.979196,4.5689125,11.433231,4.1071725,4.922983,3.6780455,3.8759315,5.899227,6.2693057,3.8445697,5.1874285,6.9277363,5.110165,5.4362826,3.7382154,4.714101,4.6134114,5.7646604,3.8678045,6.5718765,5.092393,4.53394,4.602645,5.0037255,4.6191993,5.7867374,3.9130344,4.0871453,7.380578,5.1909533,5.6068716,5.900999,5.338627,5.0623937,7.1645865,6.9929514,4.0191717,2.7662268,6.3876743,5.847154,4.0769916,4.596042,5.5714397,5.1336803,5.4331536,2.4527917,4.29967,6.5623593,5.906576,4.620137,3.5626361,4.0066776,4.8032837,4.9008927,7.097497,4.096909,6.1205797,4.676771,5.331573,5.1095324,3.8582065,5.367644,4.349974
Sample_AOCHTQ,Subject_BHBZKM,-1,4.19374,4.0321627,-2.278126,4.50288,6.0072527,3.3280358,4.3703218,6.99898,7.8349257,1.8482795,5.344355,-0.06108757,2.4746888,5.05715,4.277692,7.5610514,6.2890363,6.0248556,4.567395,3.4308958,5.6925945,4.15051,4.1706734,6.1440563,3.886536,1.7747777,2.455154,6.327156,5.4054008,5.5613246,7.0606813,6.1031094,1.6404568,8.401916,4.115537,7.059597,5.418427,7.138954,5.595814,4.826803,4.9572215,3.8970747,7.880166,7.969209,1.7807604,2.4328523,4.3074527,3.4745097,3.6489182,6.2376885,5.1289053,7.310932,5.5942307,6.839254,6.1419516,5.3741655,4.9065576,2.613634,2.07382,9.598366,2.1812375,7.562859,1.0389673,1.2244285
Sample_AOCHTQ,Subject_BHBZKM,7,7.094287,3.115325,7.4488735,5.218616,7.123154,2.8722296,4.7236485,5.0803,5.844951,4.252239,5.2250395,5.8669558,4.5072064,5.7889795,4.8004346,6.0418773,3.9357328,5.8076425,2.56672,3.5902445,4.7481556,3.1740053,4.1324224,6.160671,4.571287,6.5008936,5.459471,5.5806117,5.013963,4.982571,4.4350305,5.142493,4.531893,4.6520085,4.6477056,5.3602724,5.792462,4.6941752,4.9617233,4.8969007,5.224347,5.818373,5.201091,5.095001,4.943884,4.2725234,5.2845387,5.1886563,4.005307,5.4770527,4.9276276,4.3438716,5.2308736,5.073472,5.7477827,5.440933,4.8891582,5.0816875,5.177867,5.2460036,5.614179,4.628475,4.8735065,4.8954754
